"representante","situacao_rep","cod_rep","modelo_venda"
Representante 580,A,"728305",Parceiros
Representante 581,A,"29994",Canal
Representante 582,A,"30024",Canal
Representante 583,A,"30098",Canal
Representante 584,A,"30125",Canal
Representante 585,A,"30150",Canal
Representante 586,A,"30153",Canal
Representante 587,A,"30270",Canal
Representante 588,A,"30281",Canal
Representante 589,A,"30298",Canal
Representante 590,A,"30302",Canal
Representante 591,A,"30307",Canal
Representante 592,A,"30309",Canal
Representante 593,A,"30313",Canal
Representante 594,A,"30377",Canal
Representante 595,A,"29837",Canal
Representante 596,A,"30500",Canal
Representante 597,A,"30512",Canal
Representante 598,A,"1535",Direto
Representante 599,A,"30414",Canal
Representante 600,A,"1534",Direto
Representante 601,A,"30609",Canal
Representante 602,A,"30610",Canal
Representante 603,A,"30700",Canal
Representante 604,I,"30486",Canal
Representante 605,A,"30501",Parceiros
Representante 606,A,"30696",Canal
Representante 607,A,"728311",Parceiros
